Types [2, 1] and maxint [999, 3] detected
--- Evolve in 4000 possible combinations ---
gen	nevals	avg    	min    	max     	std      
0  	10    	0.93734	0.76906	0.973845	0.0572346
1  	9     	0.965498	0.943795	0.973845	0.00959025
2  	8     	0.973845	0.973845	0.973845	0         
3  	6     	0.973845	0.973845	0.973845	0         
4  	4     	0.97251 	0.96049 	0.973845	0.00400668
5  	8     	0.973901	0.973845	0.974402	0.000166945
6  	6     	0.973957	0.973845	0.974402	0.000222593
7  	5     	0.974179	0.973845	0.974402	0.00027262 
8  	5     	0.974402	0.974402	0.974402	0          
9  	10    	0.974179	0.972732	0.974402	0.000510025
10 	3     	0.974402	0.974402	0.974402	0          
11 	3     	0.974402	0.974402	0.974402	0          
12 	7     	0.974346	0.973845	0.974402	0.000166945
13 	4     	0.971341	0.943795	0.974402	0.00918197 
14 	6     	0.971341	0.943795	0.974402	0.00918197 
15 	5     	0.974402	0.974402	0.974402	0          
16 	5     	0.974402	0.974402	0.974402	0          
17 	8     	0.974402	0.974402	0.974402	0          
18 	8     	0.974402	0.974402	0.974402	0          
19 	9     	0.974402	0.974402	0.974402	0          
20 	7     	0.974402	0.974402	0.974402	0          
21 	6     	0.974402	0.974402	0.974402	0          
22 	0     	0.974402	0.974402	0.974402	0          
23 	4     	0.974402	0.974402	0.974402	0          
24 	3     	0.974402	0.974402	0.974402	0          
25 	5     	0.974402	0.974402	0.974402	0          
26 	4     	0.974402	0.974402	0.974402	0          
27 	5     	0.974402	0.974402	0.974402	0          
28 	5     	0.974402	0.974402	0.974402	0          
29 	0     	0.974402	0.974402	0.974402	0          
30 	6     	0.974402	0.974402	0.974402	0          
31 	9     	0.974346	0.973845	0.974402	0.000166945
32 	5     	0.969226	0.943795	0.974402	0.0105645  
33 	3     	0.974402	0.974402	0.974402	0          
34 	1     	0.974402	0.974402	0.974402	0          
35 	5     	0.974402	0.974402	0.974402	0          
36 	7     	0.974402	0.974402	0.974402	0          
37 	5     	0.974346	0.973845	0.974402	0.000166945
38 	5     	0.959711	0.82749 	0.974402	0.0440735  
39 	9     	0.974402	0.974402	0.974402	0          
